# metric_direction: lower_is_better
iteration	commit	metric	delta	guard	guard-metric	status	description
0	3b8e742	0	0	-	-	baseline	pre-business-features baseline
1	3b8e742	0	0	-	-	keep	buyer qualification + hero CTA swap
